,v0-10,v0-20,v0-40,v1-10,v1-20,v1-40,v2-10,v2-20,v2-40,v3-10,v3-20,v3-40,v4-10,v4-20,v4-40,v5-10,v5-20,v5-40,v6-10,v6-20,v6-40,v7-10,v7-20,v7-40,v8-10,v8-20,v8-40,v9-10,v9-20,v9-40,v0-10-unc,v0-20-unc,v0-40-unc,v1-10-unc,v1-20-unc,v1-40-unc,v2-10-unc,v2-20-unc,v2-40-unc,v3-10-unc,v3-20-unc,v3-40-unc,v4-10-unc,v4-20-unc,v4-40-unc,v5-10-unc,v5-20-unc,v5-40-unc,v6-10-unc,v6-20-unc,v6-40-unc,v7-10-unc,v7-20-unc,v7-40-unc,v8-10-unc,v8-20-unc,v8-40-unc,v9-10-unc,v9-20-unc,v9-40-unc,v0-20-cATM,v0-40-cATM,v1-20-cATM,v1-40-cATM,v2-20-cATM,v2-40-cATM,v3-20-cATM,v3-40-cATM,v4-20-cATM,v4-40-cATM,v5-20-cATM,v5-40-cATM,v6-20-cATM,v6-40-cATM,v7-20-cATM,v7-40-cATM,v8-20-cATM,v8-40-cATM,v9-20-cATM,v9-40-cATM
  losing-streak END date,4/3/2023,3/10/2023,1/30/2024,10/28/2024,4/3/2024,1/30/2024,10/28/2024,6/5/2024,4/2/2024,9/8/2023,5/17/2023,10/23/2024,7/18/2023,7/18/2023,7/21/2023,9/10/2025,7/18/2023,4/5/2024,4/28/2023,1/16/2023,11/20/2024,8/8/2023,4/9/2024,4/9/2024,7/19/2023,6/5/2024,7/17/2025,5/9/2023,12/13/2024,4/24/2023,8/20/2025,4/3/2024,4/2/2024,10/28/2024,4/3/2024,4/2/2024,10/28/2024,4/3/2024,4/2/2024,3/31/2023,5/17/2023,1/30/2024,9/24/2025,4/28/2023,1/30/2024,9/10/2025,9/10/2025,1/29/2024,1/24/2025,10/10/2024,4/5/2024,9/11/2023,4/3/2024,4/10/2024,9/10/2025,9/10/2025,4/8/2024,9/11/2023,4/3/2024,4/10/2024,10/28/2024,11/24/2023,7/6/2023,7/6/2023,10/28/2024,11/24/2023,7/6/2023,12/3/2025,9/13/2023,9/15/2025,11/29/2023,4/20/2023,12/27/2023,9/11/2025,7/12/2023,2/9/2024,9/15/2025,10/29/2025,4/10/2024,2/7/2024
MAX WINNING STREAK (days),28,24,13,25,20,12,15,12,11,15,24,15,22,16,10,26,18,16,31,11,16,31,9,11,10,16,11,59,20,11,26,20,16,25,20,16,23,16,16,27,15,12,22,17,14,26,26,22,26,19,19,20,16,8,19,16,19,20,16,8,22,11,25,12,17,12,32,12,16,10,20,22,18,13,15,7,10,10,15,13
  winning-streak $,53085,76356,74745,51133,69161,71304,36752,33785,84225,23197,82834,137394,79104,74496,144714,87857,94146,227967,140916,58272,181976,75983,90696,100547,10787,81341,24457,200803,170524,196370,52620,77472,134445,51133,69243,125913,51763,53583,119199,44938,42876,65918,83064,102079,223157,87857,185937,300695,122554,180479,329103,126048,253628,266555,65809,122259,293571,122108,248002,252453,103454,49353,109997,110178,78574,123614,142957,71239,123683,102512,154271,253445,100686,169941,230087,158041,26865,34138,193810,254960
WORST single day $,-2180,-6890,-8998,-4455,-6994,-8820,-4642,-5994,-8997,-1000,-6939,-8135,-5995,-6995,-9000,-5320,-7000,-9000,-5987,-2000,-9000,-1000,-7000,-3995,-6000,-7000,-9000,-3980,-7000,-9000,-4455,-8671,-13855,-4455,-8671,-13855,-4455,-8130,-14359,-3630,-8355,-16855,-8916,-18715,-37315,-5320,-12020,-28085,-7390,-14685,-31085,-11120,-32815,-87160,-7725,-13580,-31085,-11120,-32815,-87685,-6185,-9000,-6270,-9000,-6185,-9000,-6772,-9000,-7000,-9000,-7000,-9000,-6997,-9000,-7000,-9000,-6985,-9000,-7000,-9000
  worst day DATE,12/26/2023,10/31/2023,9/20/2023,10/31/2023,1/23/2024,4/2/2024,10/31/2023,12/22/2023,9/20/2023,9/2/2024,1/23/2024,1/2/2025,4/27/2023,4/13/2023,7/13/2023,9/4/2025,1/19/2024,12/10/2024,8/8/2023,6/11/2024,4/13/2023,11/22/2023,12/10/2024,10/31/2023,9/4/2025,1/29/2024,12/12/2023,2/8/2024,10/12/2023,7/24/2023,10/31/2023,7/24/2023,12/22/2023,10/31/2023,7/24/2023,12/22/2023,10/31/2023,9/28/2023,7/24/2023,10/31/2023,1/2/2025,12/22/2023,3/31/2023,3/31/2023,3/31/2023,9/4/2025,6/18/2025,5/22/2024,8/8/2023,8/8/2023,8/8/2023,10/17/2023,5/22/2024,5/22/2024,9/4/2025,8/8/2023,8/8/2023,10/17/2023,5/22/2024,5/22/2024,6/4/2024,5/22/2023,6/19/2025,5/22/2023,6/4/2024,5/22/2023,1/22/2024,5/22/2023,12/12/2023,4/25/2023,8/11/2025,9/11/2023,5/16/2024,7/6/2023,9/11/2023,5/15/2023,5/6/2024,3/27/2023,1/25/2023,5/15/2023
BEST single day $,9482,11335,30677,8934,15854,29902,8445,12844,28858,6429,15093,29124,12663,20279,55910,10802,23760,48399,15035,27063,183457,12970,42963,47811,9590,12493,25607,18095,31981,63104,8508,16801,30896,8934,15854,32615,8663,18864,30713,8823,12175,28136,12663,27923,57875,10802,29917,65131,16755,33992,79993,20809,50088,115227,16900,33484,79350,20569,50088,114207,12618,29062,16027,34385,21016,28052,14405,21773,29047,50048,26657,43693,26313,71933,47212,80613,17996,20672,39768,201458
  best day DATE,10/18/2024,10/29/2025,2/1/2023,2/28/2023,6/12/2024,2/1/2023,6/12/2024,12/8/2025,9/17/2025,10/18/2024,10/19/2023,2/7/2023,7/5/2023,10/29/2025,6/12/2024,6/12/2024,3/18/2025,3/18/2025,1/29/2025,3/18/2025,4/9/2025,8/13/2025,3/28/2025,4/9/2025,4/14/2025,6/14/2023,2/7/2023,7/18/2025,9/26/2023,2/9/2023,3/18/2025,10/19/2023,5/7/2025,2/28/2023,6/12/2024,2/7/2023,4/29/2024,6/12/2024,5/7/2025,10/18/2024,4/29/2024,5/7/2025,7/5/2023,10/29/2025,6/12/2024,6/12/2024,6/12/2024,6/12/2024,4/22/2025,10/29/2025,1/29/2025,3/14/2024,10/14/2024,10/3/2023,4/22/2025,10/29/2025,1/29/2025,3/14/2024,10/14/2024,10/3/2023,6/12/2024,2/7/2023,7/26/2023,2/7/2023,4/4/2025,2/7/2023,8/9/2023,5/7/2025,6/12/2024,6/12/2024,6/12/2024,6/12/2024,1/24/2023,1/29/2025,2/21/2025,2/9/2023,11/14/2023,5/3/2023,2/21/2025,4/9/2025
opens/day,13.85,18.12,21.89,13.63,16.63,19.15,15.88,18.58,23.09,8.82,16.84,19.41,16.68,18.12,19.49,17.92,20.68,23.07,26.61,17.84,28.28,24.27,32.86,14.53,14.32,11.56,7.21,31.34,37.86,28.99,13.3,16.33,18.9,13.63,16.59,18.99,13.84,16.82,19.07,13.39,16.36,18.82,16.09,19.35,20.95,17.91,22.08,23.98,24.88,30.07,32.01,39.34,47.93,51.35,24.57,29.83,31.91,39.24,47.92,51.34,19.78,21.08,16.66,18.1,19.9,21.2,16.55,18.51,18.75,18.58,21.74,22.11,32.1,32.03,29.98,25.8,9.94,7.24,35.31,29.55
NEG days,123/765,201/765,303/765,178/765,206/765,314/765,204/765,255/765,311/765,240/765,179/765,288/765,220/765,248/765,388/765,157/765,223/765,314/765,181/765,362/765,373/765,134/765,293/765,402/765,236/765,239/765,304/765,69/765,210/765,382/765,157/765,206/765,273/765,178/765,202/765,267/765,192/765,212/765,276/765,171/765,244/765,305/765,218/765,267/765,318/765,157/765,215/765,290/765,172/765,231/765,297/765,170/765,237/765,321/765,175/765,239/765,303/765,174/765,237/765,319/765,253/765,283/765,253/765,287/765,255/765,291/765,248/765,304/765,329/765,390/765,246/765,297/765,273/765,304/765,376/765,439/765,330/765,309/765,354/765,387/765
WIN %,84%,74%,60%,77%,73%,59%,73%,67%,59%,68%,76%,62%,71%,67%,49%,79%,71%,59%,76%,53%,51%,82%,62%,47%,69%,69%,60%,91%,72%,50%,79%,73%,64%,77%,73%,65%,75%,72%,64%,77%,68%,60%,71%,65%,58%,79%,72%,62%,77%,70%,61%,78%,69%,58%,77%,69%,60%,77%,69%,58%,67%,63%,67%,62%,67%,62%,67%,60%,57%,49%,68%,61%,64%,60%,51%,42%,57%,59%,54%,49%
